number,temperature,rainfall,humidity,apple_yeild
1,25.00,76.00,99.00,72.2
2,39.00,65.00,70.00,59.7
3,59.00,45.00,77.00,65.2
4,84.00,63.00,38.00,56.8
5,66.00,50.00,52.00,55.8
6,41.00,94.00,77.00,69.6
7,91.00,57.00,96.00,86.7
8,49.00,96.00,99.00,83.4
9,67.00,20.00,28.00,38.099999999999994
10,85.00,31.00,95.00,79.2
11,78.00,46.00,34.00,49.6
12,31.00,40.00,63.00,48.8
13,52.00,77.00,85.00,73.5
14,28.00,66.00,77.00,60.1
15,32.00,50.00,57.00,48.1
16,31.00,79.00,53.00,51.6
17,45.00,76.00,48.00,52.7
18,80.00,52.00,27.00,47.9
19,24.00,45.00,90.00,61.2
20,20.00,89.00,84.00,65.8
21,32.00,20.00,96.00,61.6
22,56.00,44.00,74.00,62.6
23,93.00,70.00,80.00,81.9
24,62.00,87.00,73.00,72.5
25,85.00,48.00,90.00,80.1
26,87.00,86.00,93.00,89.8
27,43.00,57.00,69.00,58.8
28,28.00,71.00,44.00,44.6
29,44.00,95.00,58.00,61.2
30,88.00,48.00,46.00,59.0
31,80.00,50.00,38.00,53.0
32,27.00,75.00,89.00,67.6
33,93.00,61.00,73.00,76.6
34,31.00,87.00,62.00,57.7
35,38.00,94.00,44.00,52.2
36,55.00,93.00,55.00,62.6
37,56.00,22.00,47.00,44.7
38,38.00,64.00,79.00,63.7
39,26.00,22.00,40.00,32.2
40,27.00,98.00,24.00,39.7
41,55.00,37.00,38.00,42.9
42,63.00,69.00,46.00,55.7
43,21.00,34.00,21.00,23.6
44,31.00,89.00,85.00,69.6
45,45.00,69.00,91.00,72.8
46,48.00,86.00,77.00,70.1
47,27.00,51.00,27.00,31.8
48,40.00,47.00,88.00,65.4
49,29.00,45.00,69.00,52.2
50,35.00,55.00,85.00,64.0
51,62.00,43.00,58.00,56.199999999999996
52,67.00,95.00,54.00,66.1
53,35.00,46.00,55.00,47.2
54,36.00,75.00,28.00,39.8
55,97.00,62.00,87.00,85.0
56,29.00,52.00,25.00,31.6
57,31.00,26.00,72.00,50.5
58,94.00,100.00,59.00,77.7
59,47.00,52.00,76.00,62.5
60,46.00,52.00,70.00,59.2
61,40.00,68.00,72.00,61.6
62,35.00,27.00,84.00,57.9
63,69.00,96.00,29.00,54.400000000000006
64,69.00,57.00,52.00,58.1
65,33.00,45.00,71.00,54.4
66,88.00,95.00,82.00,86.4
67,48.00,90.00,69.00,66.9
68,55.00,78.00,66.00,65.1
69,28.00,44.00,67.00,50.7
70,34.00,58.00,27.00,35.3
71,62.00,46.00,89.00,72.3
72,92.00,78.00,89.00,87.7
73,20.00,69.00,70.00,54.8
74,88.00,49.00,65.00,68.7
75,56.00,83.00,36.00,51.400000000000006
76,51.00,67.00,54.00,55.7
77,47.00,50.00,71.00,59.6
78,32.00,94.00,71.00,63.9
79,33.00,21.00,96.00,62.1
80,100.00,81.00,69.00,80.7
81,31.00,58.00,22.00,31.9
82,74.00,96.00,33.00,57.900000000000006
83,79.00,98.00,99.00,92.8
84,49.00,76.00,38.00,48.9
85,78.00,51.00,79.00,73.1
86,28.00,51.00,62.00,49.6
87,43.00,49.00,55.00,50.2
88,73.00,62.00,50.00,59.3
89,41.00,59.00,78.00,63.1
90,44.00,31.00,52.00,45.4
91,29.00,97.00,29.00,42.6
92,38.00,75.00,60.00,56.4
93,68.00,60.00,29.00,46.9
94,46.00,71.00,37.00,46.5
95,44.00,39.00,49.00,45.5
96,25.00,78.00,31.00,38.6
97,52.00,84.00,47.00,55.9
98,20.00,98.00,71.00,61.1
99,99.00,47.00,67.00,72.6
100,68.00,83.00,94.00,84.0
101,38.00,90.00,20.00,39.4
102,99.00,67.00,43.00,64.6
103,53.00,71.00,39.00,49.6
104,85.00,30.00,49.00,56.0
105,90.00,20.00,43.00,52.5
106,62.00,67.00,38.00,51.0
107,81.00,81.00,78.00,79.5
108,23.00,69.00,65.00,53.2
109,86.00,66.00,22.00,50.0
110,58.00,89.00,76.00,73.2
111,28.00,51.00,88.00,62.6
112,98.00,33.00,76.00,74.0
113,41.00,22.00,84.00,58.7
114,52.00,69.00,60.00,59.4
115,46.00,68.00,38.00,46.4
116,87.00,35.00,54.00,60.099999999999994
117,37.00,76.00,74.00,63.3
118,86.00,80.00,40.00,61.8
119,57.00,86.00,45.00,56.8
120,31.00,94.00,87.00,71.6
121,45.00,31.00,46.00,42.7
122,26.00,20.00,31.00,27.3
123,56.00,36.00,68.00,58.0
124,96.00,96.00,48.00,72.0
125,35.00,57.00,23.00,33.4
126,51.00,28.00,78.00,59.9
127,44.00,40.00,78.00,60.2
128,69.00,44.00,78.00,68.5
129,52.00,29.00,84.00,63.4
130,49.00,91.00,85.00,75.4
131,44.00,45.00,51.00,47.7
132,92.00,48.00,78.00,76.2
133,37.00,30.00,42.00,38.1
134,62.00,34.00,59.00,54.9
135,66.00,71.00,61.00,64.5
136,100.00,77.00,20.00,55.4
137,95.00,30.00,25.00,47.0
138,86.00,45.00,100.00,84.8
139,70.00,60.00,99.00,82.5
140,37.00,36.00,55.00,45.8
141,50.00,33.00,26.00,34.6
142,33.00,40.00,64.00,49.9
143,86.00,98.00,25.00,57.900000000000006
144,57.00,75.00,21.00,42.599999999999994
145,53.00,24.00,73.00,57.2
146,34.00,78.00,23.00,37.3
147,55.00,45.00,42.00,46.5
148,89.00,84.00,82.00,84.5
149,68.00,47.00,84.00,71.8
150,48.00,87.00,38.00,50.8
151,45.00,67.00,67.00,60.4
152,44.00,29.00,77.00,57.5
153,79.00,72.00,58.00,67.1
154,31.00,70.00,96.00,71.3
155,31.00,73.00,49.00,48.4
156,92.00,56.00,85.00,81.3
157,69.00,60.00,85.00,75.2
158,66.00,26.00,35.00,42.5
159,94.00,81.00,79.00,83.9
160,29.00,71.00,65.00,55.4
161,23.00,97.00,21.00,36.8
162,74.00,64.00,85.00,77.5
163,39.00,86.00,76.00,66.9
164,22.00,83.00,52.00,49.2
165,32.00,21.00,59.00,43.3
166,37.00,87.00,61.00,59.0
167,29.00,85.00,64.00,57.7
168,94.00,72.00,48.00,66.6
169,85.00,83.00,73.00,78.6
170,48.00,65.00,25.00,39.9
171,50.00,91.00,77.00,71.7
172,23.00,36.00,40.00,34.1
173,46.00,72.00,51.00,53.7
174,90.00,68.00,95.00,88.1
175,47.00,58.00,32.00,41.7
176,80.00,85.00,85.00,83.5
177,73.00,76.00,36.00,55.1
178,26.00,89.00,95.00,73.1
179,84.00,27.00,37.00,49.1
180,55.00,37.00,57.00,52.4
181,41.00,97.00,59.00,61.2
182,30.00,21.00,41.00,33.7
183,24.00,62.00,32.00,35.6
184,73.00,58.00,73.00,70.0
185,57.00,82.00,67.00,67.0
186,66.00,30.00,60.00,55.8
187,36.00,87.00,41.00,48.7
188,96.00,25.00,86.00,76.8
189,45.00,89.00,20.00,41.3
190,46.00,72.00,64.00,60.2
191,77.00,77.00,75.00,76.0
192,29.00,65.00,62.00,52.7
193,80.00,44.00,90.00,77.8
194,43.00,25.00,94.00,64.9
195,55.00,86.00,76.00,71.7
196,45.00,53.00,77.00,62.6
197,35.00,85.00,38.00,46.5
198,63.00,38.00,22.00,37.5
199,36.00,87.00,59.00,57.7
200,92.00,22.00,32.00,48.0
201,100.00,58.00,90.00,86.6
202,31.00,98.00,78.00,67.9
203,86.00,21.00,82.00,71.0
204,35.00,56.00,60.00,51.7
205,63.00,37.00,81.00,66.8
206,45.00,89.00,80.00,71.3
207,43.00,59.00,61.00,55.2
208,40.00,47.00,54.00,48.4
209,83.00,35.00,68.00,65.9
210,89.00,75.00,55.00,69.2
211,80.00,52.00,91.00,79.9
212,100.00,34.00,60.00,66.8
213,84.00,61.00,31.00,52.9
214,72.00,46.00,45.00,53.3
215,95.00,29.00,77.00,72.8
216,81.00,36.00,28.00,45.5
217,55.00,65.00,29.00,44.0
218,60.00,35.00,40.00,45.0
219,48.00,76.00,85.00,72.1
220,82.00,91.00,95.00,90.3
221,48.00,24.00,45.00,41.7
222,98.00,42.00,28.00,51.8
223,76.00,81.00,31.00,54.5
224,93.00,91.00,88.00,90.1
225,84.00,48.00,57.00,63.3
226,73.00,48.00,64.00,63.5
227,55.00,37.00,46.00,46.9
228,74.00,92.00,90.00,85.6
229,23.00,44.00,90.00,60.7
230,52.00,86.00,41.00,53.3
231,76.00,79.00,25.00,51.1
232,51.00,22.00,86.00,62.7
233,25.00,77.00,78.00,61.9
234,94.00,65.00,74.00,78.2
235,39.00,32.00,29.00,32.6
236,87.00,86.00,100.00,93.3
237,51.00,70.00,29.00,43.8
238,40.00,40.00,75.00,57.5
239,37.00,55.00,69.00,56.6
240,57.00,28.00,25.00,35.2
241,65.00,63.00,51.00,57.6
242,42.00,77.00,71.00,63.5
243,64.00,83.00,72.00,71.8
244,61.00,80.00,36.00,52.3
245,98.00,89.00,50.00,72.2
246,66.00,86.00,77.00,75.5
247,35.00,76.00,96.00,73.7
248,30.00,57.00,38.00,39.4
249,38.00,97.00,98.00,79.80000000000001
250,100.00,73.00,22.00,55.6
251,20.00,97.00,79.00,64.9
252,51.00,66.00,100.00,78.5
253,33.00,62.00,31.00,37.8
254,58.00,41.00,37.00,44.1
255,35.00,95.00,25.00,42.0
256,77.00,34.00,64.00,61.9
257,49.00,48.00,86.00,67.3
258,61.00,28.00,55.00,51.400000000000006
259,27.00,55.00,86.00,62.1
260,67.00,69.00,23.00,45.4
261,55.00,79.00,79.00,71.8
262,25.00,98.00,72.00,63.1
263,27.00,60.00,40.00,40.1
264,40.00,93.00,82.00,71.6
265,33.00,58.00,75.00,59.0
266,85.00,95.00,73.00,81.0
267,79.00,50.00,47.00,57.2
268,79.00,21.00,22.00,38.9
269,39.00,22.00,76.00,54.1
270,25.00,85.00,78.00,63.5
271,81.00,96.00,63.00,75.0
272,90.00,76.00,61.00,72.7
273,58.00,31.00,27.00,37.099999999999994
274,49.00,40.00,34.00,39.7
275,60.00,35.00,43.00,46.5
276,63.00,85.00,56.00,63.9
277,28.00,32.00,28.00,28.8
278,46.00,54.00,57.00,53.1
279,36.00,52.00,96.00,69.2
280,82.00,74.00,44.00,61.4
281,48.00,35.00,35.00,38.9
282,96.00,30.00,25.00,47.3
283,65.00,83.00,77.00,74.6
284,80.00,63.00,51.00,62.1
285,85.00,96.00,78.00,83.7
286,83.00,42.00,83.00,74.8
287,84.00,25.00,72.00,66.2
288,54.00,60.00,80.00,68.2
289,62.00,70.00,97.00,81.1
290,79.00,63.00,57.00,64.8
291,58.00,81.00,43.00,55.099999999999994
292,30.00,40.00,72.00,53.0
293,86.00,89.00,23.00,55.1
294,80.00,35.00,49.00,55.5
295,69.00,60.00,85.00,75.2
296,42.00,48.00,94.00,69.2
297,36.00,99.00,49.00,55.1
298,58.00,98.00,22.00,48.0
299,56.00,90.00,91.00,80.3
300,57.00,95.00,88.00,80.1
301,21.00,30.00,30.00,27.3
302,80.00,86.00,80.00,81.2
303,21.00,80.00,83.00,63.8
304,92.00,28.00,89.00,77.69999999999999
305,78.00,51.00,29.00,48.1
306,38.00,32.00,36.00,35.8
307,90.00,81.00,58.00,72.2
308,56.00,30.00,72.00,58.8
309,44.00,26.00,21.00,28.9
310,68.00,99.00,35.00,57.7
311,55.00,24.00,63.00,52.8
312,45.00,27.00,45.00,41.4
313,30.00,28.00,51.00,40.1
314,71.00,65.00,45.00,56.8
315,52.00,76.00,22.00,41.8
316,68.00,40.00,86.00,71.4
317,76.00,35.00,57.00,58.3
318,60.00,70.00,32.00,48.0
319,41.00,59.00,21.00,34.6
320,83.00,40.00,21.00,43.4
321,99.00,61.00,53.00,68.4
322,71.00,72.00,95.00,83.2
323,49.00,68.00,86.00,71.3
324,21.00,96.00,79.00,65.0
325,47.00,31.00,51.00,45.8
326,90.00,69.00,100.00,90.8
327,34.00,71.00,26.00,37.4
328,68.00,81.00,71.00,72.1
329,22.00,33.00,64.00,45.2
330,54.00,61.00,35.00,45.9
331,67.00,41.00,45.00,50.8
332,94.00,81.00,20.00,54.4
333,91.00,99.00,66.00,80.1
334,57.00,25.00,95.00,69.6
335,38.00,66.00,65.00,57.1
336,73.00,47.00,45.00,53.8
337,83.00,52.00,54.00,62.3
338,41.00,36.00,44.00,41.5
339,88.00,82.00,27.00,56.3
340,43.00,47.00,28.00,36.3
341,23.00,24.00,94.00,58.7
342,26.00,98.00,31.00,42.900000000000006
343,81.00,44.00,24.00,45.1
344,53.00,96.00,72.00,71.1
345,30.00,84.00,91.00,71.3
346,29.00,42.00,41.00,37.6
347,61.00,27.00,66.00,56.7
348,47.00,82.00,24.00,42.5
349,25.00,63.00,98.00,69.1
350,54.00,65.00,73.00,65.7
351,54.00,79.00,71.00,67.5
352,98.00,78.00,94.00,92.0
353,35.00,41.00,53.00,45.2
354,56.00,22.00,26.00,34.2
355,86.00,30.00,99.00,81.3
356,76.00,23.00,96.00,75.4
357,64.00,90.00,80.00,77.2
358,42.00,99.00,46.00,55.4
359,47.00,66.00,31.00,42.8
360,72.00,78.00,73.00,73.7
361,34.00,33.00,99.00,66.3
362,67.00,74.00,51.00,60.4
363,64.00,94.00,35.00,55.5
364,42.00,87.00,52.00,56.0
365,89.00,81.00,74.00,79.9
366,92.00,90.00,93.00,92.1
367,86.00,64.00,99.00,88.1
368,76.00,20.00,68.00,60.8
369,95.00,69.00,42.00,63.3
370,53.00,77.00,46.00,54.3
371,45.00,34.00,83.00,61.8
372,54.00,66.00,30.00,44.4
373,36.00,34.00,25.00,30.1
374,65.00,96.00,23.00,50.2
375,78.00,93.00,95.00,89.5
376,50.00,35.00,66.00,55.0
377,94.00,35.00,67.00,68.7
378,77.00,76.00,57.00,66.8
379,95.00,61.00,66.00,73.7
380,99.00,96.00,97.00,97.4
381,20.00,28.00,37.00,30.1
382,70.00,25.00,34.00,43.0
383,20.00,74.00,57.00,49.3
384,26.00,39.00,53.00,42.1
385,65.00,74.00,93.00,80.8
386,54.00,83.00,98.00,81.8
387,26.00,25.00,88.00,56.8
388,69.00,80.00,41.00,57.2
389,41.00,75.00,93.00,73.8
390,68.00,64.00,99.00,82.7
391,88.00,66.00,90.00,84.6
392,81.00,88.00,39.00,61.400000000000006
393,65.00,34.00,32.00,42.3
394,85.00,59.00,38.00,56.3
395,34.00,83.00,67.00,60.3
396,92.00,22.00,47.00,55.5
397,92.00,59.00,78.00,78.4
398,72.00,25.00,66.00,59.599999999999994
399,94.00,68.00,25.00,54.3
400,65.00,82.00,91.00,81.4
401,65.00,96.00,48.00,62.7
402,29.00,54.00,24.00,31.5
403,68.00,52.00,60.00,60.8
404,57.00,71.00,85.00,73.8
405,72.00,95.00,52.00,66.6
406,39.00,21.00,27.00,29.4
407,39.00,54.00,37.00,41.0
408,77.00,32.00,45.00,52.0
409,89.00,88.00,45.00,66.8
410,36.00,97.00,21.00,40.7
411,26.00,78.00,46.00,46.400000000000006
412,73.00,96.00,87.00,84.6
413,23.00,45.00,72.00,51.9
414,69.00,43.00,34.00,46.3
415,85.00,55.00,96.00,84.5
416,81.00,97.00,75.00,81.2
417,68.00,72.00,85.00,77.3
418,21.00,22.00,64.00,42.7
419,50.00,22.00,95.00,66.9
420,53.00,93.00,28.00,48.5
421,85.00,100.00,32.00,61.5
422,56.00,58.00,47.00,51.900000000000006
423,42.00,61.00,44.00,46.8
424,56.00,82.00,38.00,52.2
425,96.00,43.00,59.00,66.9
426,46.00,75.00,56.00,56.8
427,76.00,21.00,71.00,62.5
428,89.00,72.00,32.00,57.1
429,45.00,72.00,90.00,72.9
430,47.00,95.00,79.00,72.6
431,98.00,50.00,31.00,54.9
432,69.00,32.00,54.00,54.1
433,49.00,32.00,59.00,50.6
434,76.00,48.00,64.00,64.4
435,76.00,51.00,62.00,64.0
436,34.00,71.00,49.00,48.9
437,71.00,34.00,83.00,69.6
438,22.00,48.00,86.00,59.2
439,84.00,78.00,73.00,77.3
440,24.00,93.00,24.00,37.8
441,37.00,81.00,82.00,68.3
442,49.00,77.00,82.00,71.1
443,88.00,72.00,97.00,89.3
444,32.00,46.00,80.00,58.8
445,82.00,85.00,63.00,73.1
446,39.00,45.00,99.00,70.2
447,37.00,92.00,26.00,42.5
448,99.00,26.00,94.00,81.9
449,60.00,85.00,29.00,49.5
450,75.00,93.00,78.00,80.1
451,34.00,40.00,42.00,39.2
452,81.00,52.00,33.00,51.2
453,70.00,44.00,91.00,75.3
454,88.00,55.00,96.00,85.4
455,42.00,51.00,25.00,35.3
456,26.00,57.00,29.00,33.7
457,74.00,68.00,70.00,70.8
458,37.00,63.00,79.00,63.2
459,48.00,73.00,22.00,40.0
460,97.00,92.00,59.00,77.0
461,99.00,62.00,96.00,90.1
462,24.00,75.00,60.00,52.2
463,52.00,80.00,36.00,49.6
464,29.00,75.00,92.00,69.7
465,47.00,39.00,74.00,58.9
466,34.00,35.00,86.00,60.2
467,52.00,51.00,25.00,38.3
468,93.00,42.00,78.00,75.3
469,81.00,100.00,45.00,66.8
470,100.00,80.00,26.00,59.0
471,63.00,48.00,61.00,59.0
472,48.00,51.00,47.00,48.1
473,27.00,73.00,78.00,61.7
474,60.00,98.00,95.00,85.1
475,78.00,79.00,22.00,50.2
476,99.00,30.00,42.00,56.7
477,91.00,27.00,71.00,68.2
478,85.00,95.00,20.00,54.5
479,51.00,90.00,39.00,52.8
480,37.00,67.00,96.00,72.5
481,46.00,94.00,24.00,44.6
482,51.00,99.00,37.00,53.6
483,76.00,39.00,63.00,62.1
484,74.00,70.00,20.00,46.2
485,53.00,88.00,26.00,46.5
486,95.00,69.00,90.00,87.3
487,64.00,38.00,64.00,58.8
488,68.00,88.00,22.00,49.0
489,79.00,55.00,66.00,67.7
490,87.00,39.00,63.00,65.4
491,85.00,100.00,90.00,90.5
492,84.00,40.00,52.00,59.2
493,55.00,70.00,48.00,54.5
494,47.00,79.00,57.00,58.4
495,59.00,52.00,56.00,56.1
496,84.00,83.00,43.00,63.3
497,27.00,71.00,70.00,57.3
498,85.00,81.00,75.00,79.2
499,40.00,52.00,36.00,40.4
500,58.00,26.00,84.00,64.6
501,64.00,92.00,59.00,67.1
502,63.00,68.00,78.00,71.5
503,79.00,46.00,73.00,69.4
504,51.00,68.00,24.00,40.9
505,54.00,63.00,69.00,63.3
506,75.00,61.00,68.00,68.7
507,30.00,48.00,33.00,35.1
508,96.00,65.00,87.00,85.3
509,43.00,69.00,48.00,50.7
510,55.00,87.00,42.00,54.900000000000006
511,88.00,59.00,33.00,54.7
512,57.00,75.00,91.00,77.6
513,43.00,59.00,56.00,52.7
514,88.00,100.00,76.00,84.4
515,24.00,31.00,62.00,44.4
516,26.00,37.00,68.00,49.2
517,73.00,36.00,77.00,67.6
518,70.00,43.00,79.00,69.1
519,29.00,91.00,93.00,73.4
520,49.00,66.00,28.00,41.9
521,53.00,53.00,85.00,69.0
522,35.00,28.00,73.00,52.6
523,94.00,83.00,59.00,74.3
524,24.00,47.00,39.00,36.1
525,88.00,43.00,78.00,74.0
526,28.00,25.00,76.00,51.4
527,53.00,87.00,30.00,48.3
528,36.00,55.00,46.00,44.8
529,27.00,66.00,46.00,44.3
530,39.00,34.00,55.00,46.0
531,40.00,43.00,47.00,44.1
532,34.00,68.00,49.00,48.3
533,97.00,42.00,26.00,50.5
534,53.00,54.00,87.00,70.2
535,51.00,84.00,36.00,50.1
536,74.00,65.00,94.00,82.2
537,87.00,44.00,54.00,61.9
538,42.00,55.00,66.00,56.6
539,83.00,86.00,37.00,60.599999999999994
540,30.00,50.00,46.00,42.0
541,36.00,75.00,77.00,64.3
542,51.00,57.00,20.00,36.7
543,98.00,35.00,73.00,72.9
544,66.00,29.00,73.00,62.1
545,48.00,80.00,41.00,50.9
546,90.00,83.00,63.00,75.1
547,52.00,46.00,60.00,54.8
548,61.00,75.00,75.00,70.8
549,44.00,34.00,32.00,36.0
550,69.00,32.00,35.00,44.6
551,35.00,45.00,36.00,37.5
552,81.00,65.00,33.00,53.8
553,21.00,44.00,86.00,58.1
554,90.00,81.00,83.00,84.7
555,41.00,86.00,52.00,55.5
556,35.00,79.00,22.00,37.3
557,38.00,46.00,94.00,67.6
558,99.00,35.00,83.00,78.2
559,48.00,54.00,97.00,73.7
560,98.00,54.00,34.00,57.2
561,49.00,62.00,52.00,53.1
562,28.00,72.00,84.00,64.8
563,39.00,58.00,66.00,56.3
564,62.00,59.00,74.00,67.4
565,49.00,60.00,26.00,39.7
566,90.00,90.00,47.00,68.5
567,40.00,32.00,49.00,42.9
568,62.00,75.00,72.00,69.6
569,21.00,34.00,32.00,29.1
570,85.00,38.00,75.00,70.6
571,81.00,70.00,43.00,59.8
572,42.00,80.00,69.00,63.1
573,39.00,21.00,92.00,61.9
574,94.00,96.00,99.00,96.9
575,43.00,55.00,42.00,44.9
576,41.00,85.00,41.00,49.8
577,57.00,95.00,56.00,64.1
578,64.00,21.00,20.00,33.4
579,48.00,23.00,29.00,33.5
580,43.00,29.00,86.00,61.7
581,100.00,60.00,50.00,67.0
582,42.00,27.00,83.00,59.5
583,42.00,99.00,27.00,45.9
584,99.00,39.00,88.00,81.5
585,61.00,20.00,95.00,69.8
586,64.00,60.00,75.00,68.7
587,100.00,60.00,27.00,55.5
588,84.00,35.00,76.00,70.2
589,75.00,32.00,97.00,77.4
590,67.00,97.00,96.00,87.5
591,22.00,24.00,34.00,28.4
592,37.00,76.00,92.00,72.3
593,49.00,64.00,83.00,69.0
594,38.00,22.00,60.00,45.8
595,81.00,45.00,100.00,83.3
596,25.00,85.00,77.00,63.0
597,96.00,66.00,93.00,88.5
598,74.00,84.00,38.00,58.0
599,24.00,62.00,22.00,30.6
600,43.00,24.00,34.00,34.7
601,92.00,47.00,34.00,54.0
602,50.00,70.00,60.00,59.0
603,45.00,86.00,65.00,63.2
604,35.00,40.00,65.00,51.0
605,44.00,100.00,63.00,64.7
606,28.00,42.00,21.00,27.3
607,52.00,65.00,68.00,62.6
608,32.00,88.00,89.00,71.7
609,70.00,55.00,97.00,80.5
610,55.00,90.00,75.00,72.0
611,71.00,66.00,39.00,54.0
612,24.00,51.00,27.00,30.9
613,83.00,53.00,89.00,80.0
614,89.00,33.00,38.00,52.3
615,61.00,71.00,56.00,60.5
616,65.00,46.00,69.00,63.2
617,90.00,25.00,90.00,77.0
618,56.00,66.00,32.00,46.0
619,20.00,33.00,71.00,48.1
620,60.00,36.00,23.00,36.7
621,29.00,30.00,22.00,25.7
622,61.00,26.00,44.00,45.5
623,81.00,80.00,57.00,68.8
624,84.00,32.00,96.00,79.6
625,27.00,53.00,28.00,32.7
626,92.00,85.00,89.00,89.1
627,68.00,63.00,21.00,43.5
628,22.00,73.00,40.00,41.2
629,54.00,29.00,93.00,68.5
630,38.00,23.00,60.00,46.0
631,43.00,73.00,92.00,73.5
632,59.00,90.00,31.00,51.2
633,80.00,57.00,69.00,69.9
634,72.00,81.00,78.00,76.8
635,22.00,44.00,61.00,45.9
636,74.00,82.00,22.00,49.6
637,69.00,91.00,98.00,87.9
638,22.00,90.00,37.00,43.1
639,63.00,33.00,23.00,37.0
640,62.00,61.00,62.00,61.8
641,33.00,44.00,87.00,62.2
642,73.00,53.00,22.00,43.5
643,76.00,88.00,99.00,89.9
644,43.00,56.00,77.00,62.6
645,75.00,83.00,82.00,80.1
646,32.00,77.00,49.00,49.5
647,81.00,66.00,29.00,52.0
648,94.00,51.00,42.00,59.4
649,35.00,57.00,82.00,62.9
650,64.00,70.00,60.00,63.2
651,71.00,30.00,99.00,76.8
652,30.00,93.00,23.00,39.1
653,24.00,98.00,90.00,71.8
654,85.00,89.00,78.00,82.3
655,28.00,78.00,53.00,50.5
656,38.00,30.00,27.00,30.9
657,63.00,70.00,20.00,42.9
658,100.00,45.00,87.00,82.5
659,72.00,27.00,81.00,67.5
660,31.00,97.00,47.00,52.2
661,21.00,85.00,66.00,56.3
662,100.00,34.00,44.00,58.8
663,28.00,89.00,25.00,38.7
664,38.00,84.00,44.00,50.2
665,47.00,26.00,45.00,41.8
666,33.00,70.00,33.00,40.4
667,35.00,77.00,75.00,63.4
668,32.00,75.00,85.00,67.1
669,96.00,74.00,68.00,77.6
670,51.00,66.00,35.00,46.0
671,46.00,25.00,86.00,61.8
672,31.00,39.00,79.00,56.6
673,26.00,92.00,38.00,45.2
674,54.00,57.00,50.00,52.6
675,95.00,39.00,22.00,47.3
676,74.00,56.00,32.00,49.4
677,99.00,57.00,86.00,84.1
678,26.00,22.00,33.00,28.7
679,87.00,61.00,81.00,78.8
680,41.00,97.00,40.00,51.7
681,97.00,67.00,49.00,67.0
682,99.00,41.00,51.00,63.4
683,73.00,21.00,56.00,54.099999999999994
684,44.00,22.00,27.00,31.1
685,53.00,72.00,26.00,43.3
686,34.00,27.00,95.00,63.1
687,80.00,49.00,40.00,53.8
688,93.00,75.00,69.00,77.4
689,25.00,94.00,90.00,71.3
690,100.00,31.00,20.00,46.2
691,57.00,75.00,60.00,62.099999999999994
692,80.00,89.00,74.00,78.8
693,69.00,38.00,72.00,64.3
694,50.00,70.00,66.00,62.0
695,68.00,100.00,55.00,67.9
696,79.00,58.00,79.00,74.8
697,86.00,44.00,32.00,50.6
698,37.00,67.00,98.00,73.5
699,82.00,65.00,35.00,55.099999999999994
700,32.00,45.00,49.00,43.1
701,76.00,62.00,30.00,50.2
702,68.00,35.00,23.00,38.9
703,60.00,96.00,24.00,49.2
704,73.00,81.00,27.00,51.599999999999994
705,22.00,49.00,48.00,40.4
706,29.00,97.00,59.00,57.6
707,44.00,41.00,61.00,51.9
708,86.00,97.00,73.00,81.7
709,67.00,23.00,79.00,64.2
710,72.00,55.00,52.00,58.599999999999994
711,60.00,21.00,34.00,39.2
712,86.00,79.00,99.00,91.1
713,37.00,33.00,60.00,47.7
714,25.00,68.00,52.00,47.1
715,86.00,29.00,31.00,47.1
716,67.00,48.00,32.00,45.7
717,87.00,63.00,64.00,70.7
718,20.00,75.00,65.00,53.5
719,94.00,53.00,45.00,61.3
720,35.00,28.00,64.00,48.1
721,69.00,21.00,60.00,54.9
722,68.00,82.00,33.00,53.3
723,92.00,32.00,42.00,55.0
724,65.00,61.00,67.00,65.2
725,86.00,82.00,67.00,75.7
726,39.00,95.00,39.00,50.2
727,76.00,79.00,27.00,52.1
728,58.00,38.00,83.00,66.5
729,22.00,55.00,76.00,55.6
730,59.00,93.00,75.00,73.8
731,72.00,88.00,36.00,57.2
732,67.00,60.00,98.00,81.1
733,71.00,46.00,76.00,68.5
734,63.00,72.00,97.00,81.8
